technical_name,business_name,status,products,rb_datasets,api_feeds,definition
cncl_cost,Cancel Cost,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,omni_sales,omni_sales;omni_sales_new,"Refers to the product cost associated with units that have been cancelled. This cost applies to Owned and DSV (Drop Ship Vendor) products. For store products, the Cancel Cost is recorded as Null (i.e., not applicable or not recorded)."
cncl_qty,Cancelled Quantity,APPROVED,9:API Glossary,,ecomm_subscriptions,"The number of cancelled units. They could be cancelled for potential fraud, by the customer, or by us if we couldn't fulfill the sold units for whatever reason."
cncl_rsn_nm,Cancelled Reason Name,APPROVED,9:API Glossary,,ecomm_subscriptions,The descriptive label or name assigned to the reason why a subscription was cancelled. This value identifies the specific cause for the cancellation event.Possible Values:PAYMENT_AUTH_FAILED: The subscription was cancelled because payment authorization failed.CUSTOMER_INELIGIBLE: The subscription was cancelled because the customer was not eligible.ITEM_NOT_SUPPORTED: The subscription was cancelled because the item is not supported.
cncl_when_out_dt,Cancel When Out Date,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,dc_metrics;modular_plan_metrics;omni_otif;omni_sales;order_forecast;store_demand_forecast;store_sales_&amp,dc_item_measures,"The date that all of the warehouses are expected to be out of the item merchandise, so the item can then go to a deleted status."
cncl_when_out_ind,Cancel When Out Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,dc_item_measures;item_attributes;item_dimensions,"The merchandise is being phased out at the Store or the Distribution Center. When on-hand falls to zero, cancel the store order for this item.Examples: 0,1 (where 1 means item is deleted)"
cnfrm_shpmnt_deadline_dt,Confirm Shipment Deadline Date,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,The deadline for confirming the shipment or delivery of the merchandise.Format : YYYY-MM-DD
cnsld_id,Consolidator ID,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order,Identifies the external company ID contracted by Walmart to prepare merchandise for delivery to target Home Office. This preparation will typically consist of the consolidation of several orders freight into containers for shipment.
cnsld_ind,Consolidation Flag,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,omni_otif;purchase_order,omni_otif;oms_po_details;otif_(decommissioned);purchase_order_dc_receiver,The Consolidation Flag is an indicator that shows whether a Purchase Order (PO) has passed through an eligible center point during its processing. This flag is typically set to either:True: The PO did flow through an eligible center point.False: The PO did not flow through an eligible center point.
cnsumable_div_nbr,Consumable Division number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,item_attributes;item_dimensions,"The consumable division number of the item.In Wal-Mart, U.S., Division 1, consumable items (supplies) are created in Division 1 and charged to Division 1. In ASDA supplies are created in Division 68 and charged to the division that they are used in: CONSUMABLE DIVISION NBR. If multiple divisions use this item it will be charged to Division 68."
cntnr_load_qty,Container Load Quantity,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order,This is the number of cases that it will take to fill up the container as specified in the Equipment Type Code column. The number of pieces will be calculated based on the sum of the pack volumes. The users are allowed to change it to a value other than the computed value.
