technical_name,business_name,status,products,rb_datasets,api_feeds,definition
net_rcpt_rtl_amt,Net Receipt Retail Amount,APPROVED,13:Report Builder,custom_datasets,store_item_measures_(inventory),Retail value of the receipt. Gross Receipts $ - Store Return $
net_sales_cncl_amt,Net Sales Cancelled Amount,APPROVED,9:API Glossary,,ecomm_subscriptions,"The cancelled net sales. Net sales is revenue collected from the customer for owned, DSV, and store sales (same as GMV). For Walmart Marketplace (MP) sales, it's generally commission but if Walmart price is below MP seller price, that discount (aka subsidy) is also in net sales. For Warranties and In-Home Services, the net sales is GMV minus product cost, which essentially is a commission."
net_sales_order_amt,Net Sales Order Amount,APPROVED,9:API Glossary,,ecomm_subscriptions,"The net sales, net of cancellations and refunds. Net sales is revenue collected from the customer for owned, DSV, and store sales (same as GMV). For Walmart Marketplace (MP) sales, it's generally commission but if the Walmart price is below the MP seller price, that discount (aka subsidy) is also in net sales. For Warranties and In-Home Services, the net sales is GMV minus product cost, which essentially is a commission. 'ORDER' in the column name refers to the fact that this is order-based rather than event-based."
net_sales_plcd_amt,Net Sales Placed Amount,APPROVED,9:API Glossary,,ecomm_subscriptions,"The net sales for Placed orders. Net sales is revenue collected from the customer for owned, DSV, and store sales (same as GMV). For Walmart Marketplace (MP) sales, it's generally commission but if the Walmart price is below the MP seller price, that discount (aka subsidy) is also in net sales. For Warranties and In-Home Services, the net sales is GMV minus product cost, which essentially is a commission."
net_sales_rfnd_amt,Net Sales Refund Amount,APPROVED,9:API Glossary,,ecomm_subscriptions,"The refunded net sales. Includes customer refunds, refunded commissions, and contra Marketplace (MP) price. Net sales is revenue collected from the customer for owned, DSV, and store sales (same as GMV). For Walmart Marketplace (MP) sales, it's generally commission but if Walmart price is below MP seller price, that discount (aka subsidy) is also in net sales. For Warranties and In-Home Services, the net sales is GMV minus product cost, which essentially is a commission."
never_out_ind,Never Out Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,Indicates if an item is designated for the stores to never be out–of-stock.
new_store_disc_ind,New Store Discount Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_alloc_order;purchase_order_line_destination,This indicates that the store will receive a new store discount. Values: 1 - indicates that the store will receive a new store discount 0 - indicates that the store will not receive a new store discount
nil_pick_dnmntr,Nil Pick Denominator,APPROVED,9:API Glossary,,,The quantity of actual items ordered excluding cancelled items prior to dispense.
nil_pick_nmrtr,Nil Pick Numerator,APPROVED,9:API Glossary,,,"Is the percentage of ordered items that could not be fulfilled, even after attempting substitutions. It represents the portion of customer demand that remanined unfulfilled."
nil_pick_qty,NIL Picks,APPROVED,3:Cloud Feeds;5:BI Link;7:Channel Performance Insights;9:API Glossary;13:Report Builder,store_sales_&amp,store_fulfillment,"A measure of the not picked or substituted by a store. In general, Nil Pick is an event of not being able to pick an ordered item, substitute an item, or provide a manager override since it is not available on the current shelf.Example:wm_item_nbr store_nbr nil_pick_qty 123456789 10 3"
nil_pick_qty,Nil Picks Quantity,APPROVED,13:Report Builder,custom_datasets,,"A measure of the units not picked or substituted by a store. In general, Nil Pick is an event of not being able to pick an ordered item, substitute an item, or provide a manager override since it is not available on the current shelf.Example:wm\_item\_nbr store\_nbr nil\_pick\_qty 123456789 10 3"
nil_pick_unavlbl_score_val,Nil Pick Unavailable Score Value,APPROVED,5:BI Link;9:API Glossary,,digital_transactability,Indicates that the item is not available because it is blocked due to Nil picks.
no_actv_distr_not_pub_ind,No Active Distributor Not Published Indicator,APPROVED,5:BI Link;9:API Glossary,,digital_transactability,Indicates that the Item is not published as it has no active distributor listed.
non_mbr_upchrg_ind,Non Member Upcharge Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,item_attributes;item_dimensions,Indicates if this item will have an upcharge applied when sold to a Non-Member using a one day promotion pass
none_og_ind,No Online Grocery,APPROVED,2:Customer Perception,,,Indicates Panelist does not use online grocery
not_infull_vnpk_qty,Not In Full Vendor Pack Quantity,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,Total number of unfilled vendor packs (includes cancelled system PO's unfilled vendor packs).
nxt_bill_dt,Next Bill Date,APPROVED,9:API Glossary,,coops,Calculated date for the next monthly billing of COOPs or Deals. For COOPs it would be the next month's bill date.Format: YYYY-MM-DD
objective_description,Objective,APPROVED,2:Customer Perception,,,Purpose of the project
obsolete_dt,Item End Date,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,"Date an item no longer scans at store level. ""O"" in the item flag column indicates the item is obsolete. Obsolete means it does not scan in any store and Home Office associates cannot access it on HOST system."
offr_end_dt,Offer End Date,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,ecomm_inventory;ecomm_sales;omni_sales,product_dimensions,The date by when Walmart must sell the existing On Hand or has to liquidate/return.
offr_start_dt,Offer Start Date,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,ecomm_inventory;ecomm_sales;omni_sales,product_dimensions,The date from when the item is recorded as a sellable offering for eCommerce. The gap between the offer start date and first sales registering for the item gives an estimate of how long it took the item to register sale and if it can be improved. There are no restrictions on the start date; it could be before or after the offer create timestamp.
omittraits,Omit Trait,APPROVED,13:Report Builder,store_sales_&amp,,This represents what stores the traited item should not be sent to or should not be valid for. It is represented as (“Trait\_nbr” ++ “Trait\_connect\_cd” ++ “Trait\_nbr”) as per the order of sequence provided in “Trait\_Seq\_Nbr” where “Send\_Omit\_Cd” = ‘O’.
omni_catg_desc,Omni Category Description,APPROVED,3:Cloud Feeds;5:BI Link;6:Digital Landscapes;7:Channel Performance Insights;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;ecomm_sales;future_valid_item_store;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp;tender_analysis,item_attributes;item_dimensions;product_dimensions;upc_attribution,Name of the L30 level within the Walmart Merchandising Hierarchy. This is below Category Group and above Subcategory.
omni_catg_grp_desc,Omni Category Group Description,APPROVED,3:Cloud Feeds;5:BI Link;6:Digital Landscapes;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;ecomm_sales;future_valid_item_store;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp;tender_analysis,item_attributes;item_dimensions;product_dimensions;upc_attribution,The department category group description.The name of the L20 level within the Walmart Merchandising Hierarchy. This level is positioned above the Omni Category (L30) and below the Division level.It groups together related categories for higher-level merchandising organization.
omni_catg_grp_nbr,Omni Category Group Number,APPROVED,3:Cloud Feeds;5:BI Link;6:Digital Landscapes;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;ecomm_sales;future_valid_item_store;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp;tender_analysis,item_attributes;item_dimensions;product_dimensions;upc_attribution,"The department category group number.The unique numeric identifier assigned to each Omni Category Group (L20) within the Walmart Merchandising Hierarchy.Used for reporting, tracking, and organizing merchandise at the group level."
omni_catg_nbr,Omni Category Number,APPROVED,3:Cloud Feeds;5:BI Link;6:Digital Landscapes;7:Channel Performance Insights;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;ecomm_sales;future_valid_item_store;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp;tender_analysis,item_attributes;item_dimensions;product_dimensions;upc_attribution,The department category number for stores.The unique numeric identifier assigned to each Omni Category (L30) within the Walmart Merchandising Hierarchy. This is below Category Group and above Subcategory.
omni_dept_desc,Omni Department Description,APPROVED,3:Cloud Feeds;5:BI Link;6:Digital Landscapes;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;ecomm_sales;future_valid_item_store;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp;tender_analysis,item_attributes;item_dimensions;product_dimensions;upc_attribution,Stores = department name and eComm = super department name.The name of the L10 level within the Walmart Merchandising Hierarchy. This level is positioned above the Omni Category Group (L20) and below the Omni Segment (L5). It represents a broad grouping of related merchandise categories.For Stores = department name For eComm = super department name.
omni_dept_nbr,Omni Department Number,APPROVED,3:Cloud Feeds;5:BI Link;6:Digital Landscapes;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;ecomm_sales;future_valid_item_store;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp;tender_analysis,item_attributes;item_dimensions;product_dimensions;upc_attribution,"Stores = department number and eComm = super department number.The unique numeric identifier assigned to each Omni Department (L10) within the Walmart Merchandising Hierarchy. Used for organizing, tracking, and reporting at the department level.For Stores = department number For eComm = super department number."
omni_seg_desc,Omni Segment Description,APPROVED,3:Cloud Feeds;5:BI Link;6:Digital Landscapes;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;ecomm_sales;future_valid_item_store;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp;tender_analysis,item_attributes;item_dimensions;product_dimensions;upc_attribution,Stores = financial segment name and eComm = division name.The name of the L5 level within the Walmart Merchandising Hierarchy. This is the highest level in the hierarchy and is positioned above the Omni Department (L10). It represents the broadest grouping of merchandise.For Stores = financial segment name For eComm = division name.
omni_seg_nbr,Omni Segment Number,APPROVED,3:Cloud Feeds;5:BI Link;6:Digital Landscapes;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;ecomm_sales;future_valid_item_store;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp;tender_analysis,item_attributes;item_dimensions;product_dimensions;upc_attribution,"Stores = financial segment number and eComm = division number.The unique numeric identifier assigned to each Omni Segment (L5) within the Walmart Merchandising Hierarchy. Used for organizing, tracking, and reporting at the segment level.For stores: the financial segment numberFor eCommerce (eComm): the division number"
omni_subcatg_desc,Omni Subcategory Description,APPROVED,3:Cloud Feeds;5:BI Link;6:Digital Landscapes;7:Channel Performance Insights;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;ecomm_sales;future_valid_item_store;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp;tender_analysis,item_attributes;item_dimensions;product_dimensions;upc_attribution,Name of the L40 level within the Walmart Merchandising Hierarchy. This is below Category and the lowest level of the Omni Hierarchy.
omni_subcatg_nbr,Omni Subcategory Number,APPROVED,3:Cloud Feeds;5:BI Link;6:Digital Landscapes;7:Channel Performance Insights;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;ecomm_sales;future_valid_item_store;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp;tender_analysis,item_attributes;item_dimensions;product_dimensions;upc_attribution,The department sub-category group number.An unique identifier of the L40 level within the Walmart Merchandising Hierarchy. This is below Category and the lowest level of the Omni Hierarchy.
omni_trnsctbl_ind,Omni Transactability Indicator,APPROVED,5:BI Link;9:API Glossary,,digital_transactability,"Indicates if customers can add the item to a cart for purchase through the Walmart App or Website. Omni-transactable items are in the sellable universe and are visible, transactable, eligible, and available. Values are 0 (unavailable) and 1 (available)."
omni_upc_nbr,Omni UPC Number,APPROVED,5:BI Link;6:Digital Landscapes;9:API Glossary,,upc_attribution;upc_sales,"For Stores: Universal Product Code (UPC) Identification Number is a 12-digit number that identifies a selling unit of merchandise. The UPC Number consists of a one-digit Prefix, a Company Number, a Product Reference Number, and a Check Digit. For EComm: UPCs are different. The eComm UPC has leading 0s and no check digit. Stores UPCs don't have leading 0s and have the check digit.For Stores: Universal Product Code (UPC) Identification Number is a 12-digit number that identifies a selling unit of merchandise. The UPC Number consists of a one-digit Prefix, a Company Number, a Product Reference Number, and a Check Digit.For EComm: UPCs are different. The eComm UPC has leading 0s and no check digit. Stores UPCs don't have leading 0s and have the check digit."
oms_create_ts,OMS Create Timestamp,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;stock_transfer_purchase_order_cross_reference,The date and time the record was created in the source Order Management System.
oms_last_chng_ts,OMS Last Changing Time Stamp,APPROVED,3:Cloud Feeds;9:API Glossary,,purchase_order_line,This is the timestamp of last update.
oms_po_line_nbr,OMS Purchase Order Line Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,omni_otif;purchase_order,omni_otif;oms_po_details;otif_(decommissioned);purchase_order_alloc_order;purchase_order_dc_receiver_line;purchase_order_line;purchase_order_line_destination,A unique number assigned to each Purchase Order line in the OMS system.
oms_po_nbr,OMS Purchase Order Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,omni_otif;purchase_order,omni_otif;oms_po_details;otif_(decommissioned);purchase_order;purchase_order_alloc_order;purchase_order_dc_receiver;purchase_order_dc_receiver_line;purchase_order_line;purchase_order_line_destination,The system assigned Purchase Order number from the OMS system. This is unique globally for all OMS purchase orders.
oms_po_nbr,OMS Purchase Order Number,APPROVED,3:Cloud Feeds,,,System assigned Purchase Order number from the OMS system. This is unique globally for all OMS purchase orders.
oms_qlty_hld_cd,OMS Quality Hold Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_line,"This is a code that would put a hold on all purchase order (PO) lines which have issues such as:\- safety hazards\- production quality issues\- not what was ordered but is sellable.An example of a quality hold would be when a shirt has a zipper instead of buttons. This quality hold can be created during or after production time of what Walmart is inspecting.These hold codes are intended for post quality control, not quality assurance, which is pre-quality controlled. This quality hold code is also different than the item file that will be implemented with the new quality hold column. The item file column is intended to block all items from being ordered/replenished. An example would be if peanut butter, which is not inspected by Walmart, has a quality issue, item file would set the quality hold on that item which would block all replenishment/ordering for that item."
oms_row_chng_ts,OMS Row Changing Timestamp,APPROVED,3:Cloud Feeds;9:API Glossary,,purchase_order;purchase_order_dc_receiver;purchase_order_dc_receiver_line;purchase_order_line;purchase_order_line_destination,Timestamp of the last change made to this purchase order (PO) in the Order Management System (OMS).
oms_sub_line_nbr,OMS Sub Line Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_dc_receiver_line,This is an individual line associated with an OMS SUB ORDER.
oms_sub_order_nbr,OMS Sub Order Number,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,purchase_order,purchase_order_dc_receiver;purchase_order_dc_receiver_line,This identifies the legacy purchase order numbers for backfeeding and integration into P1A and DCS2000 grocery.
on_hand_cost_amt,On Hand Cost Amount,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,ecomm_inventory,ecomm_inventory,This is the on hand cost amount that is available for an item at a Fulfillment Center (FC). This amount is in Dollars.
on_hand_cost_amt,On Hand Cost AmountEOP,APPROVED,13:Report Builder,ecomm_inventory,,This is the on hand cost amount that is available for an item at a Fulfillment Center (FC). This amount is in Dollars.Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
on_hand_cost_amt,On Hand Cost AmountYoY Difference,APPROVED,13:Report Builder,store_sales_&amp,,This is the on hand cost amount that is available for an item at a Fulfillment Center (FC). This amount is in Dollars.Year over year difference for Store on hand cost amount = LY_ON_HAND_COST_AMT - TY_ON_HAND_COST_AMT
on_hand_cost_amt,Store On Hand Cost Amount,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,custom_datasets;store_sales_&amp,store_item_measures;store_item_measures_(inventory),"This is the on hand cost amount that is available for an item at a Fulfillment Center (FC). This amount is in Dollars.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
on_hand_cost_amt,Store On Hand Cost Amount EOP,APPROVED,13:Report Builder,store_sales_&amp,,This is the on hand cost amount that is available for an item at a Fulfillment Center (FC). This amount is in Dollars.Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
on_hand_cost_amt,Store On Hand Cost Amount YoY Change%,APPROVED,13:Report Builder,custom_datasets,,This is the on hand cost amount that is available for an item at a Fulfillment Center (FC). This amount is in Dollars.Year over year change percentage for Store on hand cost amount = (LY\_ON\_HAND\_COST\_AMT - TY\_ON\_HAND\_COST\_AMT) / LY\_ON\_HAND\_COST\_AMT
on_hand_cost_amt,Store On Hand Cost Amount YoY Difference,APPROVED,13:Report Builder,custom_datasets,,This is the on hand cost amount that is available for an item at a Fulfillment Center (FC). This amount is in Dollars.Year over year difference for Store on hand cost amount = LY\_ON\_HAND\_COST\_AMT - TY\_ON\_HAND\_COST\_AMT
on_hand_qty,Current Clearance On Hand Quantity,APPROVED,13:Report Builder,store_sales_&amp,,The quantity of an item on clearance which is on hand at this store.
on_hand_qty,Current Clearance On Hand Quantity - EOP,APPROVED,13:Report Builder,store_sales_&amp,,The quantity of an item on clearance which is on hand at this store.
on_hand_qty,Current Clearance On Hand Quantity - Last Year,APPROVED,13:Report Builder,,,The quantity of an item on clearance which is on hand at this store.
on_hand_qty,Current Clearance On Hand Quantity - This Year,APPROVED,13:Report Builder,,,The quantity of an item on clearance which is on hand at this store.
on_hand_qty,Current Rollback On Hand Quantity,APPROVED,13:Report Builder,store_sales_&amp,,The quantity of an item on rollback which is on hand at this store.
on_hand_qty,Current Rollback On Hand Quantity - EOP,APPROVED,13:Report Builder,store_sales_&amp,,The quantity of an item on rollback which is on hand at this store.
on_hand_qty,Current Rollback On Hand Quantity - Last Year,APPROVED,13:Report Builder,,,The quantity of an item on rollback which is on hand at this store.
on_hand_qty,Current Rollback On Hand Quantity - This Year,APPROVED,13:Report Builder,,,The quantity of an item on rollback which is on hand at this store.
on_hand_qty,National Replen Instock Percentage,APPROVED,13:Report Builder,,,An items instock value measured across all nodes.This is calculated as On Hand Qty / Forecast Qty at the national level.
on_hand_qty,On Hand Quantity,APPROVED,9:API Glossary,,ecomm_instock_percentage;fc_ecomm_instock_percentage,The quantity of an item which is on hand at this store.
on_hand_qty,Store On Hand Quantity,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,store_item_measures_(inventory),"The current quantity of merchandise physically at a Walmart store. This value is updated regularly in Walmart’s inventory systems and is used for replenishment, inventory management, and sales forecasting. Store On Hand Quantity reflects the actual count of items present in the store, not including items in transit or at the distribution center. Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
on_hand_qty,Store On Hand Quantity EOP,APPROVED,13:Report Builder,store_sales_&amp,,The quantity of an item which is on hand at this store. Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
on_hand_qty,Store Weeks of Supply / Weeks on Hand,APPROVED,13:Report Builder,vendor_scorecard,,"The measure of how many weeks the store on hand inventory quantity, for a particular item, will last given the current average store sales quantity."
on_hand_qty,eComm Node Instock,APPROVED,9:API Glossary,,,"\*\*Supplemental Calculation\*\* eComm Node Instock is a key indicator of stock availability at the node level. To calculate eComm Node Instock, divide the following for each fc\_id/catalog\_item\_idFractional SUM(ON\_HAND\_QTY)/Fractional SUM(FCST\_QTY)"
on_hand_rtl_amt,Current Clearance On Hand Amount - Last Year,APPROVED,13:Report Builder,,,This is the on hand retail amount that is available for a clearance item.This amount is in Dollars.
on_hand_rtl_amt,Current Clearance On Hand Amount - This Year,APPROVED,13:Report Builder,,,This is the on hand retail amount that is available for a clearance item.This amount is in Dollars.
on_hand_rtl_amt,Current Clearance On Hand Retail,APPROVED,13:Report Builder,store_sales_&amp,,This is the on hand retail amount that is available for a clearance item. This amount is in Dollars.
on_hand_rtl_amt,Current Clearance On Hand Retail - EOP,APPROVED,13:Report Builder,store_sales_&amp,,This is the on hand retail amount that is available for a clearance item. This amount is in Dollars.
on_hand_rtl_amt,Current Rollback On Hand Amount - Last Year,APPROVED,13:Report Builder,,,This is the on hand retail amount that is available for a rollback item.This amount is in Dollars.
on_hand_rtl_amt,Current Rollback On Hand Amount - This Year,APPROVED,13:Report Builder,,,This is the on hand retail amount that is available for a rollback item.This amount is in Dollars.
on_hand_rtl_amt,Current Rollback On Hand Retail - EOP,APPROVED,13:Report Builder,store_sales_&amp,,This is the on hand retail amount that is available for a rollback item. This amount is in Dollars.
on_hand_rtl_amt,On Hand Retail Amount,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,ecomm_inventory,ecomm_inventory,This is the on hand retail amount that is available for an item at a Fulfillment Center (FC). This amount is in Dollars.
on_hand_rtl_amt,On Hand Retail AmountEOP,APPROVED,13:Report Builder,ecomm_inventory,,This is the on hand retail amount that is available for an item at a Fulfillment Center (FC). This amount is in Dollars.Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
on_hand_rtl_amt,Store On Hand Retail,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,store_item_measures_(inventory),The total positive on-hand for that item in Retail Dollars $
on_hand_rtl_amt,Store On Hand Retail - EOP,APPROVED,13:Report Builder,store_sales_&amp,,The total positive on-hand for that item in Retail Dollars $
on_hand_rtl_amt,Store Retail Dollar Inventory,APPROVED,13:Report Builder,vendor_scorecard,,The sum of the retail amount of the inventory (on hand) that is available for an item in store. This amount is shown in dollars.
on_hand_rtl_amt,Store Retail Turns,APPROVED,13:Report Builder,vendor_scorecard,,It is a measure of how often we sell through our onhand inventory in terms of dollars in a year. This is measured in dollars.
on_hand_unavlbl_score_val,On Hand Unavailable Score Value,APPROVED,5:BI Link;9:API Glossary,,digital_transactability,Indicates that the item not available due to demand exceeding on hand quantity.
on_hand_unit_qty,On Hand Unit Quantity,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,ecomm_inventory,ecomm_inventory,This is the number of units available for an item at a Fulfillment Center (FC).
on_hand_unit_qty,On Hand Unit QuantityEOP,APPROVED,13:Report Builder,ecomm_inventory,,This is the number of units available for an item at a Fulfillment Center (FC).Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
on_hand_whpk_cost_amt,On Hand Warehouse Pack Cost Amount,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics,dc_item_measures,"The cost of the current year's inventory warehouse pack (on-hand) at this DC. This amount is shown in dollars ($)Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
on_hand_whpk_cost_amt,On Hand Warehouse Pack Cost Amount - Last Year,APPROVED,5:BI Link,,dc_item_measures,"The cost of the current year's inventory warehouse pack (on-hand) at this DC, last year. This amount is shown in dollars ($)"
on_hand_whpk_cost_amt,On Hand Warehouse Pack Cost Amount - This Year,APPROVED,5:BI Link,,dc_item_measures,"The cost of the current year's inventory warehouse pack (on-hand) at this DC, this year. This amount is shown in dollars ($)"
on_hand_whpk_rtl_amt,On Hand Warehouse Pack Sell Amount,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics,dc_item_measures,"The dollar amount of the current year inventory warehouse pack (on-hand) at this DC. Calculated as on_hand_whpk_qty * whpk_sell_amt. whpk_sell_amt is the dollar amount a store pays the DC to purchase a warehouse pack of this item for this year. This does not include inbound freight cost and any additional DC charges. It is the value of the warehouse inventory as it is related to how much is charged to the store by the warehouse.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
on_hand_whpk_rtl_amt,On Hand Warehouse Pack Sell Amount - Last Year,APPROVED,5:BI Link,,dc_item_measures,"The dollar amount of the last year inventory warehouse pack (on-hand) at this DC. Calculated as on_hand_whpk_qty * whpk_sell_amt. whpk_sell_amt is the dollar amount a store pays the DC to purchase a warehouse pack of this item for this year. This does not include inbound freight cost and any additional DC charges. It is the value of the warehouse inventory as it is related to how much is charged to the store by the warehouse.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
on_hand_whpk_rtl_amt,On Hand Warehouse Pack Sell Amount - This Year,APPROVED,5:BI Link,,dc_item_measures,"The dollar amount of the current year inventory warehouse pack (on-hand) at this DC. Calculated as on_hand_whpk_qty * whpk_sell_amt. whpk_sell_amt is the dollar amount a store pays the DC to purchase a warehouse pack of this item for this year. This does not include inbound freight cost and any additional DC charges. It is the value of the warehouse inventory as it is related to how much is charged to the store by the warehouse.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
on_hand_whpk_rtl_amt,On Hand Warehouse Pack Sell Amount EOP,APPROVED,13:Report Builder,dc_metrics,,The dollar amount of the current year inventory warehouse pack (on-hand) at this DC. Calculated as on_hand_whpk_qty * whpk_sell_amt. whpk_sell_amt is the dollar amount a store pays the DC to purchase a warehouse pack of this item for this year. This does not include inbound freight cost and any additional DC charges. It is the value of the warehouse inventory as it is related to how much is charged to the store by the warehouse.Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
on_order_cost_amt,Cost On Hand,APPROVED,13:Report Builder,vendor_scorecard,,The cost amount of units on a purchase order allocated specifically to the store. This amount is shown in dollars.
on_order_cost_amt,Cost On Order,APPROVED,13:Report Builder,vendor_scorecard,,The cost amount of units on a purchase order allocated specifically to the store. This amount is shown in dollars.
on_order_cost_amt,On Hand Cost Amount YoY Change%,APPROVED,13:Report Builder,store_sales_&amp,,This is the on hand cost amount that is available for an item at a Fulfillment Center (FC). This amount is in Dollars.Year over year change percentage for Store on hand cost amount = (LY_ON_HAND_COST_AMT - TY_ON_HAND_COST_AMT) / LY_ON_HAND_COST_AMT
on_order_cost_amt,On Hand Warehouse Pack Cost Amount EOP,APPROVED,13:Report Builder,dc_metrics,,The cost of the current year's inventory warehouse pack (on-hand) at this DC. This amount is shown in dollars ($)Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
on_order_cost_amt,Store Cost Dollar Inventory,APPROVED,13:Report Builder,vendor_scorecard,,The cost amount of the items on hand in store. This amount is shown in dollars.
on_order_cost_amt,Store Cost On Order,APPROVED,13:Report Builder,vendor_scorecard,,The cost amount of units on a purchase order allocated specifically to the store. This amount is shown in dollars.
on_order_cost_amt,Store On Order Cost Amount,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,custom_datasets;store_sales_&amp,store_item_measures;store_item_measures_(inventory),"The cost amount of units on a purchase order allocated specifically to the store. This amount is shown in dollars.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
on_order_cost_amt,Store On Order Cost Amount EOP,APPROVED,13:Report Builder,store_sales_&amp,,The cost amount of units on a purchase order allocated specifically to the store. This amount is shown in dollars.Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
on_order_cost_amt,Store On Order Cost Amount YoY Change%,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,,The cost amount of units on a purchase order allocated specifically to the store. This amount is shown in dollars.Year over year change percentage for Store on order cost amount = (LY\_ON\_ORDER\_COST\_AMT - TY\_ON\_ORDER\_COST\_AMT) / LY\_ON\_ORDER\_COST\_AMT
